totalNum: 4039
attackerNum: 201
targetNum: 403
targetNode 137: 2410
targetNode 138: 1387
targetNode 139: 3437
targetNode 140: 3440
targetNode 141: 2419
targetNode 142: 3443
targetNode 143: 381
targetNode 144: 1408
targetNode 145: 3457
targetNode 146: 388
targetNode 147: 1413
targetNode 148: 2439
targetNode 149: 3464
targetNode 150: 393
targetNode 151: 1418
targetNode 152: 3470
targetNode 153: 2446
targetNode 154: 1423
targetNode 155: 3471
targetNode 156: 3473
targetNode 157: 3474
targetNode 158: 1427
targetNode 159: 3478
targetNode 160: 1430
targetNode 161: 3481
targetNode 162: 2457
targetNode 163: 1434
targetNode 164: 1435
targetNode 165: 413
targetNode 166: 420
targetNode 167: 3493
targetNode 168: 428
targetNode 169: 429
targetNode 170: 2480
targetNode 171: 1460
targetNode 172: 2486
targetNode 173: 1463
targetNode 174: 3512
targetNode 175: 1466
targetNode 176: 444
targetNode 177: 3516
targetNode 178: 1479
targetNode 179: 2506
targetNode 180: 2507
targetNode 181: 1484
targetNode 182: 2509
targetNode 183: 1486
targetNode 184: 3536
targetNode 185: 3538
targetNode 186: 2516
targetNode 187: 3541
targetNode 188: 3543
targetNode 189: 1498
targetNode 190: 475
targetNode 191: 1500
targetNode 192: 1501
targetNode 193: 3553
targetNode 194: 2531
targetNode 195: 1508
targetNode 196: 2534
targetNode 197: 3558
targetNode 198: 486
targetNode 199: 1516
targetNode 200: 2540
targetNode 201: 2541
targetNode 202: 2545
targetNode 203: 1525
targetNode 204: 3574
targetNode 205: 505
targetNode 206: 2553
targetNode 207: 3581
targetNode 208: 1544
targetNode 209: 1546
targetNode 210: 2571
targetNode 211: 1547
targetNode 212: 1549
targetNode 213: 526
targetNode 214: 3598
targetNode 215: 1552
targetNode 216: 3604
targetNode 217: 1556
targetNode 218: 3605
targetNode 219: 2582
targetNode 220: 3607
targetNode 221: 536
targetNode 222: 1560
targetNode 223: 537
targetNode 224: 3612
targetNode 225: 1566
targetNode 226: 543
targetNode 227: 3618
targetNode 228: 2598
targetNode 229: 2599
targetNode 230: 3625
targetNode 231: 1578
targetNode 232: 555
targetNode 233: 558
targetNode 234: 559
targetNode 235: 3631
targetNode 236: 2607
targetNode 237: 560
targetNode 238: 561
targetNode 239: 3634
targetNode 240: 2616
targetNode 241: 3643
targetNode 242: 3645
targetNode 243: 1599
targetNode 244: 3647
targetNode 245: 2628
targetNode 246: 2630
targetNode 247: 1606
targetNode 248: 3655
targetNode 249: 2633
targetNode 250: 3659
targetNode 251: 2639
targetNode 252: 2640
targetNode 253: 3665
targetNode 254: 3670
targetNode 255: 2651
targetNode 256: 606
targetNode 257: 2656
targetNode 258: 1633
targetNode 259: 613
targetNode 260: 620
targetNode 261: 1645
targetNode 262: 621
targetNode 263: 3694
targetNode 264: 2674
targetNode 265: 2677
targetNode 266: 1657
targetNode 267: 2683
targetNode 268: 2685
targetNode 269: 1663
targetNode 270: 644
targetNode 271: 3719
targetNode 272: 647
targetNode 273: 3726
targetNode 274: 3731
targetNode 275: 3737
targetNode 276: 666
targetNode 277: 3749
targetNode 278: 3751
targetNode 279: 1703
targetNode 280: 1714
targetNode 281: 2738
targetNode 282: 3763
targetNode 283: 2740
targetNode 284: 693
targetNode 285: 3765
targetNode 286: 1719
targetNode 287: 2749
targetNode 288: 709
targetNode 289: 1733
targetNode 290: 1734
targetNode 291: 2759
targetNode 292: 2762
targetNode 293: 3790
targetNode 294: 2778
targetNode 295: 2779
targetNode 296: 2781
targetNode 297: 743
targetNode 298: 2792
targetNode 299: 3823
targetNode 300: 755
targetNode 301: 2804
targetNode 302: 1781
targetNode 303: 1786
targetNode 304: 1787
targetNode 305: 1790
targetNode 306: 2820
targetNode 307: 775
targetNode 308: 3855
targetNode 309: 3856
targetNode 310: 3857
targetNode 311: 1812
targetNode 312: 788
targetNode 313: 795
targetNode 314: 3869
targetNode 315: 3876
targetNode 316: 807
targetNode 317: 1833
targetNode 318: 1836
targetNode 319: 1839
targetNode 320: 2866
targetNode 321: 3891
targetNode 322: 823
targetNode 323: 3899
targetNode 324: 2879
targetNode 325: 3903
targetNode 326: 832
targetNode 327: 3910
targetNode 328: 3911
targetNode 329: 2887
targetNode 330: 839
targetNode 331: 2891
targetNode 332: 843
targetNode 333: 847
targetNode 334: 3921
targetNode 335: 1877
targetNode 336: 2902
targetNode 337: 858
targetNode 338: 1889
targetNode 339: 2924
targetNode 340: 2925
targetNode 341: 1905
targetNode 342: 882
targetNode 343: 1907
targetNode 344: 3960
targetNode 345: 3964
targetNode 346: 2942
targetNode 347: 1918
targetNode 348: 3967
targetNode 349: 1922
targetNode 350: 3970
targetNode 351: 2946
targetNode 352: 2954
targetNode 353: 3979
targetNode 354: 3980
targetNode 355: 1936
targetNode 356: 913
targetNode 357: 1938
targetNode 358: 1940
targetNode 359: 2975
targetNode 360: 1954
targetNode 361: 930
targetNode 362: 4005
targetNode 363: 2982
targetNode 364: 1958
targetNode 365: 1960
targetNode 366: 4011
targetNode 367: 940
targetNode 368: 2993
targetNode 369: 4022
targetNode 370: 2999
targetNode 371: 4023
targetNode 372: 3001
targetNode 373: 4026
targetNode 374: 956
targetNode 375: 3004
targetNode 376: 1983
targetNode 377: 1985
targetNode 378: 3010
targetNode 379: 3011
targetNode 380: 4035
targetNode 381: 3015
targetNode 382: 1993
targetNode 383: 978
targetNode 384: 2003
targetNode 385: 2005
targetNode 386: 2006
targetNode 387: 3037
targetNode 388: 2013
targetNode 389: 2017
targetNode 390: 3043
targetNode 391: 999
targetNode 392: 3048
targetNode 393: 3049
targetNode 394: 3052
targetNode 395: 2035
targetNode 396: 1013
targetNode 397: 2039
targetNode 398: 1015
targetNode 399: 2040
targetNode 400: 2041
targetNode 401: 1017
targetNode 402: 2047
targetNode 403: 1023
fakeNode 1: 3586
fakeNode 2: 1026
fakeNode 3: 2565
fakeNode 4: 3089
fakeNode 5: 20
fakeNode 6: 2072
fakeNode 7: 3096
fakeNode 8: 3611
fakeNode 9: 2080
fakeNode 10: 3104
fakeNode 11: 1571
fakeNode 12: 548
fakeNode 13: 3626
fakeNode 14: 1580
fakeNode 15: 3628
fakeNode 16: 1582
fakeNode 17: 3120
fakeNode 18: 3635
fakeNode 19: 1077
fakeNode 20: 568
fakeNode 21: 57
fakeNode 22: 572
fakeNode 23: 2620
fakeNode 24: 573
fakeNode 25: 2623
fakeNode 26: 1604
fakeNode 27: 1610
fakeNode 28: 75
fakeNode 29: 3660
fakeNode 30: 2125
fakeNode 31: 3663
fakeNode 32: 79
fakeNode 33: 3157
fakeNode 34: 2646
fakeNode 35: 1626
fakeNode 36: 608
fakeNode 37: 3170
fakeNode 38: 1126
fakeNode 39: 105
fakeNode 40: 1644
fakeNode 41: 2156
fakeNode 42: 2163
fakeNode 43: 628
fakeNode 44: 117
fakeNode 45: 1146
fakeNode 46: 2170
fakeNode 47: 1659
fakeNode 48: 2171
fakeNode 49: 3197
fakeNode 50: 637
fakeNode 51: 134
fakeNode 52: 135
fakeNode 53: 1672
fakeNode 54: 3210
fakeNode 55: 651
fakeNode 56: 1676
fakeNode 57: 1678
fakeNode 58: 143
fakeNode 59: 1167
fakeNode 60: 145
fakeNode 61: 1177
fakeNode 62: 3740
fakeNode 63: 157
fakeNode 64: 1181
fakeNode 65: 3230
fakeNode 66: 3743
fakeNode 67: 2208
fakeNode 68: 3745
fakeNode 69: 1186
fakeNode 70: 2212
fakeNode 71: 3238
fakeNode 72: 2731
fakeNode 73: 3245
fakeNode 74: 1713
fakeNode 75: 2737
fakeNode 76: 691
fakeNode 77: 2742
fakeNode 78: 1720
fakeNode 79: 2234
fakeNode 80: 186
fakeNode 81: 2746
fakeNode 82: 1730
fakeNode 83: 3267
fakeNode 84: 3269
fakeNode 85: 2246
fakeNode 86: 710
fakeNode 87: 200
fakeNode 88: 713
fakeNode 89: 717
fakeNode 90: 3278
fakeNode 91: 2767
fakeNode 92: 2269
fakeNode 93: 221
fakeNode 94: 3295
fakeNode 95: 2272
fakeNode 96: 1761
fakeNode 97: 1249
fakeNode 98: 3811
fakeNode 99: 3812
fakeNode 100: 1253
fakeNode 101: 1767
fakeNode 102: 3306
fakeNode 103: 1264
fakeNode 104: 1266
fakeNode 105: 1780
fakeNode 106: 1268
fakeNode 107: 244
fakeNode 108: 2296
fakeNode 109: 2304
fakeNode 110: 3844
fakeNode 111: 2823
fakeNode 112: 1801
fakeNode 113: 1290
fakeNode 114: 2827
fakeNode 115: 3851
fakeNode 116: 1805
fakeNode 117: 1808
fakeNode 118: 1301
fakeNode 119: 794
fakeNode 120: 1307
fakeNode 121: 284
fakeNode 122: 1821
fakeNode 123: 2340
fakeNode 124: 1318
fakeNode 125: 806
fakeNode 126: 3366
fakeNode 127: 1831
fakeNode 128: 298
fakeNode 129: 1323
fakeNode 130: 1326
fakeNode 131: 3381
fakeNode 132: 2871
fakeNode 133: 313
fakeNode 134: 3389
fakeNode 135: 3396
fakeNode 136: 1861
fakeNode 137: 3914
fakeNode 138: 2894
fakeNode 139: 851
fakeNode 140: 3926
fakeNode 141: 3414
fakeNode 142: 2392
fakeNode 143: 1370
fakeNode 144: 2398
fakeNode 145: 3935
fakeNode 146: 1379
fakeNode 147: 2916
fakeNode 148: 3941
fakeNode 149: 361
fakeNode 150: 3436
fakeNode 151: 366
fakeNode 152: 1913
fakeNode 153: 2940
fakeNode 154: 1916
fakeNode 155: 899
fakeNode 156: 3972
fakeNode 157: 2951
fakeNode 158: 1929
fakeNode 159: 3978
fakeNode 160: 2956
fakeNode 161: 396
fakeNode 162: 2963
fakeNode 163: 404
fakeNode 164: 405
fakeNode 165: 3991
fakeNode 166: 3992
fakeNode 167: 3483
fakeNode 168: 1949
fakeNode 169: 2974
fakeNode 170: 421
fakeNode 171: 3497
fakeNode 172: 1449
fakeNode 173: 2475
fakeNode 174: 945
fakeNode 175: 3507
fakeNode 176: 435
fakeNode 177: 1972
fakeNode 178: 2997
fakeNode 179: 951
fakeNode 180: 1976
fakeNode 181: 3514
fakeNode 182: 1982
fakeNode 183: 4034
fakeNode 184: 452
fakeNode 185: 3542
fakeNode 186: 470
fakeNode 187: 3032
fakeNode 188: 1496
fakeNode 189: 2522
fakeNode 190: 992
fakeNode 191: 484
fakeNode 192: 2024
fakeNode 193: 3562
fakeNode 194: 492
fakeNode 195: 3566
fakeNode 196: 2542
fakeNode 197: 1521
fakeNode 198: 3059
fakeNode 199: 1018
fakeNode 200: 2554
fakeNode 201: 2555
